THỜI KHÓA BIỂU DỰ KIẾN KỲ 20252 - CẬP NHẬT NGÀY 23.02.2026,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Kỳ,Trường_Viện_Khoa,Mã_lớp,Mã_lớp_kèm,Mã_HP,Tên_HP,Tên_HP_Tiếng_Anh,Khối_lượng,Ghi_chú,Buổi_số,Thứ,Thời_gian,BĐ,KT,Kíp,Tuần,Phòng,Cần_TN,SLĐK,SL_Max,Trạng_thái,Loại_lớp,Đợt_mở,Mã_QL,TeachingType
20252,THKHSS,167023,167023,BF2702,Hóa sinh,Biochemistry,4(4-0-0-8),Sinh học 04-K70S,1,6,0645-1005,1,4,Sáng,26-42,D3-406,NULL,56,70,Điều chỉnh ĐK,LT+BT,AB,CT CHUẨN,
20252,THKHSS,168257,168257,BF2702E,Hoá sinh,Biochemistry,4(4-0-0-8),**CTTT-Sinh học-K69C,1,4,1410-1730,3,6,Chiều,"25-32,34-42",D8-402,NULL,50,50,Điều chỉnh ĐK,LT+BT,AB,ELITECH,
20252,THKHSS,764061,764061,BF2702E,Hoá sinh,Biochemistry,4(4-0-0-8),HSE1,1,4,1315-1730,2,6,Chiều,"28-32, 35-39",C10-107,NULL,NULL,17,Huỷ lớp,TN,AB,ELITECH,
20252,THKHSS,764016,764016,BF2703,Thí nghiệm hóa sinh,Laboratory Experiments in Biochemistry,2(0-0-4-4),HS1,1,2,1315-1730,2,6,Chiều,"28-32, 35-39",C10-107,NULL,17,17,Điều chỉnh ĐK,TN,AB,CT CHUẨN,
20252,THKHSS,764017,764017,BF2703,Thí nghiệm hóa sinh,Laboratory Experiments in Biochemistry,2(0-0-4-4),HS2,1,2,1315-1730,2,6,Chiều,"28-32, 35-39",C10-108,NULL,14,17,Điều chỉnh ĐK,TN,AB,CT CHUẨN,
20252,THKHSS,764018,764018,BF2703,Thí nghiệm hóa sinh,Laboratory Experiments in Biochemistry,2(0-0-4-4),HS3,1,3,1315-1730,2,6,Chiều,"28-32, 35-39",C10-107,NULL,17,17,Điều chỉnh ĐK,TN,AB,CT CHUẨN,
20252,THKHSS,764019,764019,BF2703,Thí nghiệm hóa sinh,Laboratory Experiments in Biochemistry,2(0-0-4-4),HS4,1,3,1315-1730,2,6,Chiều,"28-32, 35-39",C10-108,NULL,17,17,Điều chỉnh ĐK,TN,AB,CT CHUẨN,
20252,THKHSS,764020,764020,BF2703,Thí nghiệm hóa sinh,Laboratory Experiments in Biochemistry,2(0-0-4-4),HS5,1,4,1315-1730,2,6,Chiều,"28-32, 35-39",C10-108,NULL,13,17,Điều chỉnh ĐK,TN,AB,CT CHUẨN,
20252,THKHSS,764175,764175,BF2703E,Thí nghiệm hóa sinh,Biochemistry Lab,2(0-0-4-4),HSE1,1,4,1315-1730,2,6,Chiều,"28-32, 35-39",C10-107,NULL,0,17,Huỷ lớp,TN,AB,ELITECH,
20252,THKHSS,764176,764176,BF2703E,Thí nghiệm hóa sinh,Biochemistry Lab,2(0-0-4-4),HSE2,1,5,0730-1145,2,6,Sáng,"28-32, 35-39",C10-107,NULL,17,17,Điều chỉnh ĐK,TN,AB,ELITECH,
20252,THKHSS,764177,764177,BF2703E,Thí nghiệm hóa sinh,Biochemistry Lab,2(0-0-4-4),HSE3,1,6,0730-1145,2,6,Sáng,"28-32, 35-39",C10-107,NULL,15,17,Điều chỉnh ĐK,TN,AB,ELITECH,
20252,THKHSS,766631,766631,BF2703E,Thí nghiệm hóa sinh,Biochemistry Lab,2(0-0-4-4),HSE4,1,6,1315-1730,2,6,Chiều,"28-32, 35-39",C10-107,NULL,16,17,Điều chỉnh ĐK,TN,AB,ELITECH,
20252,THKHSS,766724,766724,BF2703E,Thí nghiệm hóa sinh,Biochemistry Lab,2(0-0-4-4),HSE5,1,7,1315-1730,2,6,Chiều,"28-32, 35-39",C10-107,NULL,9,17,Điều chỉnh ĐK,TN,AB,ELITECH,
20252,THKHSS,764006,764006,BF3501,Thí nghiệm vi sinh vật thực phẩm,Laboratory Experiments in Food Microbiology,2(0-0-4-4),TPVS1,1,3,0730-1145,2,6,Sáng,"26-32, 35-39",C4-401A,NULL,16,17,Điều chỉnh ĐK,TN,AB,CT CHUẨN,
20252,THKHSS,764007,764007,BF3501,Thí nghiệm vi sinh vật thực phẩm,Laboratory Experiments in Food Microbiology,2(0-0-4-4),TPVS2,1,4,0730-1145,2,6,Sáng,"26-32, 35-39",C4-401A,NULL,16,17,Điều chỉnh ĐK,TN,AB,CT CHUẨN,
20252,THKHSS,764008,764008,BF3501,Thí nghiệm vi sinh vật thực phẩm,Laboratory Experiments in Food Microbiology,2(0-0-4-4),TPVS3,1,5,0730-1145,2,6,Sáng,"26-32, 35-39",C4-401A,NULL,17,17,Điều chỉnh ĐK,TN,AB,CT CHUẨN,
20252,THKHSS,764009,764009,BF3501,Thí nghiệm vi sinh vật thực phẩm,Laboratory Experiments in Food Microbiology,2(0-0-4-4),TPVS4,1,6,0730-1145,2,6,Sáng,"26-32, 35-39",C4-401A,NULL,16,17,Điều chỉnh ĐK,TN,AB,CT CHUẨN,
20252,THKHSS,764010,764010,BF3501,Thí nghiệm vi sinh vật thực phẩm,Laboratory Experiments in Food Microbiology,2(0-0-4-4),TPVS5,1,3,0730-1145,2,6,Sáng,"26-32, 35-39",C4-401B,NULL,14,17,Điều chỉnh ĐK,TN,AB,CT CHUẨN,
20252,THKHSS,764011,764011,BF3501,Thí nghiệm vi sinh vật thực phẩm,Laboratory Experiments in Food Microbiology,2(0-0-4-4),TPVS6,1,4,0730-1145,2,6,Sáng,"26-32, 35-39",C4-401B,NULL,17,17,Điều chỉnh ĐK,TN,AB,CT CHUẨN,
20252,THKHSS,764012,764012,BF3501,Thí nghiệm vi sinh vật thực phẩm,Laboratory Experiments in Food Microbiology,2(0-0-4-4),TPVS7,1,4,1315-1730,2,6,Chiều,"26-32, 35-39",C4-401A,NULL,17,17,Điều chỉnh ĐK,TN,AB,CT CHUẨN,
20252,THKHSS,764013,764013,BF3501,Thí nghiệm vi sinh vật thực phẩm,Laboratory Experiments in Food Microbiology,2(0-0-4-4),TPVS8,1,5,1315-1730,2,6,Chiều,"26-32, 35-39",C4-401A,NULL,18,17,Điều chỉnh ĐK,TN,AB,CT CHUẨN,
20252,THKHSS,764014,764014,BF3501,Thí nghiệm vi sinh vật thực phẩm,Laboratory Experiments in Food Microbiology,2(0-0-4-4),TPVS9,1,5,1315-1730,2,6,Chiều,"26-32, 35-39",C4-401B,NULL,17,17,Điều chỉnh ĐK,TN,AB,CT CHUẨN,
