code,name,duration,credits,tuition_credits,department,prerequisite,english_name,weight
CH4833,Hương liệu và mỹ phẩm,2(2-0-0-4),2,2,THKHSS,,Flavors and Cosmetics,0.7
CH4833E,Hương liệu và mỹ phẩm,2(2-1-0-4),2,3,THKHSS,,Fragrances and Cosmetics,0.7
CH4834,Tổng hợp các hợp chất có hoạt tính sinh học,2(2-0-0-4),2,2,THKHSS,,Synthesis of Bioactivity Compounds,0.7
CH4835,Sinh tổng hợp trong hóa học hữu cơ,2(2-0-0-4),2,2,THKHSS,,Synthetic Biology in Organic Chemistry,0.7
CH4836,Phân tích cấu trúc và thành phần các hợp chất hữu cơ,2(2-1-0-4),2,3,THKHSS,,Analysis of Compound Structure and Composition,0.7
CH4850,Hóa học phức chất,2(2-0-0-4),2,2,THKHSS,CH3120,Chemistry of Complexes,0.7
CH4851,Hóa học và công nghệ các nguyên tố đất hiếm,2(2-0-0-4),2,2,THKHSS,CH3120,Chemistry and Technology of Rare Earth Materials,0.7
CH4852,Hóa học phóng xạ,3(3-0-0-6),3,3,THKHSS,CH4852,Radiation Chemistry,0.7
CH4853,Hóa sinh vô cơ,3(3-0-0-6),3,3,THKHSS,CH3120,Inorganic Chemistry,0.7
CH4854,Hóa học chất rắn,3(2-0-2-6),3,5,THKHSS,CH3124,Chemistry of Solids,0.7
CH4855,Hóa học xanh,2(2-0-0-4),2,2,THKHSS,,Green Chemistry,0.7
CH4856,Polyme vô cơ,2(2-0-0-4),2,2,THKHSS,,Inorganic Polymer,0.7
CH4857,Vật liệu lai tạo,2(2-0-0-4),2,2,THKHSS,,Hybrid Materials,0.7
CH4858,Chất màu vô cơ,2(2-0-0-4),2,2,THKHSS,,Inorganic Colouring Substance,0.7
CH4859,Vật liệu y sinh,2(2-1-0-4),2,3,THKHSS,"(CH1012,CH1015,CH2014)",Biomaterials,0.7
CH4875,Xử lý mẫu trong hóa phân tích,2(2-1-0-4),2,3,THKHSS,"CH3331,CH3340,CH3322",Sample Processing in Analytical Chemistry,0.7
CH4876,Các phương pháp phân tích quang phổ,2(2-1-0-4),2,3,THKHSS,CH3331,Spectrum Analysis,0.7
CH4877,Các phương pháp phân tích điện hóa,2(2-1-0-4),2,3,THKHSS,CH3331,Electro-chemical Analysis,0.7
CH4878,Các phương pháp tách trong hóa phân tích,3(3-1-0-6),3,4,THKHSS,CH3331,Separation Methods in Analytical Chemistry,0.7
CH4879,TN chuyên ngành Hóa phân tích 1,2(0-0-4-4),2,6,THKHSS,"CH3331,CH3340,CH3322",Advanced Experiments in Analytical Chemistry 1,0.7
CH4880,TN chuyên ngành Hóa phân tích 2,2(0-0-4-4),2,6,THKHSS,"CH3331,CH3340,CH3322",Advanced Experiments in Analytical Chemistry 2,0.7
CH4881,Xử lý số liệu thực nghiệm trong hoá phân tích,2(2-1-0-4),2,3,THKHSS,"CH3331,CH3322",Data Processing in Analytical Chemistry,0.7
CH4882,Các phương pháp tách trong hóa phân tích,2(2-1-0-4),2,3,THKHSS,,Separation Methods in Analytical Chemistry,0.7
CH4883,Kỹ thuật xử lý mẫu trong Hóa phân tích.,2(2-0-0-4),2,2,THKHSS,,Sample preparation Techniques in Analytical Chemistry,0.7
CH4884,Các phương pháp phân tích hình thái và cấu trúc vật liệu,2(2-1-0-4),2,3,THKHSS,,Techniques for Characterization of Materials,0.7
CH4900,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,THKHSS,,Bachelor Final Project,0.5
CH4900E,Đồ án tốt nghiệp Cử nhân,6(0-0-12-24),6,15,THKHSS,,Bachelor Thesis,0.5
CH4901,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,THKHSS,"(CH3903=,CH3902=)",Bachelor Final Project,0.5
CH4902,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,TVL,"(CH4726/CH4701),(CH4692=)",Bachelor Final Project,0.5
CH4903,Đồ án nghiên cứu Cử nhân (Hóa học),8(0-0-16-32),8,20,THKHSS,CH3903=,Bachelor of Science Research Project,0.5
CH4904,Đồ án nghiên cứu Cử nhân (Kỹ thuật hóa học),8(0-0-16-32),8,20,THKHSS,,Bachelor of Science Research Project,0.5
CH4905,Đồ án nghiên cứu Cử nhân (Kỹ thuật in),8(0-0-16-32),8,20,THKHSS,,Bachelor of Science Research Project,0.5
CH4910,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,THKHSS,,Bachelor Final Project,0.5
CH4911,Đồ án thiết kế KTHH I,3(0-0-6-6),3,6,THKHSS,,Chemical Engineering Design Project I,0.7
CH4912,Đồ án thiết kế KTHH II,3(0-0-6-6),3,6,THKHSS,,Chemical Engineering Design Project II,0.7
CH5001,Thực tập tốt nghiệp (Hữu cơ hoá dầu),2(0-0-4-8),2,5,THKHSS,,Graduation Practicum,0.5
CH5002,Thực tập tốt nghiệp (CN vật liệu Polyme-compozit),2(0-0-4-8),2,5,THKHSS,,Graduation Practicum,0.5
CH5003,Thực tập tốt nghiệp (CN điện hoá & BVKL),2(0-0-4-8),2,5,THKHSS,,Graduation Practicum,0.5
CH5004,Thực tập tốt nghiệp (CN vật liệu Silicat),2(0-0-4-8),2,5,THKHSS,,Graduation Practicum,0.5
